AirQualityStation,date,type,area,no2,n
STA-PT03055,2020-01-15,industrial,urban,7.1875,24
STA-PT03055,2020-01-16,industrial,urban,15.816666666666666,24
STA-PT03055,2020-01-17,industrial,urban,28.7625,24
STA-PT03055,2020-01-18,industrial,urban,8.979166666666666,24
STA-PT03055,2020-01-19,industrial,urban,3.0166666666666666,24
STA-PT03055,2020-01-20,industrial,urban,4.208333333333333,24
STA-PT03055,2020-01-21,industrial,urban,8.725,24
STA-PT03055,2020-01-22,industrial,urban,7.845833333333333,24
STA-PT03055,2020-01-23,industrial,urban,17.1375,24
STA-PT03055,2020-01-24,industrial,urban,12.408333333333333,24
STA-PT03055,2020-01-25,industrial,urban,13.3375,24
STA-PT03055,2020-01-26,industrial,urban,23.070833333333333,24
STA-PT03055,2020-01-27,industrial,urban,10.054166666666667,24
STA-PT03055,2020-01-28,industrial,urban,14.341666666666667,24
STA-PT03055,2020-01-29,industrial,urban,14.5,24
STA-PT03055,2020-01-30,industrial,urban,12.35,24
STA-PT03055,2020-01-31,industrial,urban,11.9,24
STA-PT03055,2020-02-01,industrial,urban,15.708333333333334,24
STA-PT03055,2020-02-02,industrial,urban,14.4375,24
STA-PT03055,2020-02-03,industrial,urban,22.47083333333333,24
STA-PT03055,2020-02-04,industrial,urban,29.191666666666666,24
STA-PT03055,2020-02-05,industrial,urban,29.270833333333332,24
STA-PT03055,2020-02-06,industrial,urban,17.354166666666668,24
STA-PT03055,2020-02-07,industrial,urban,25.2375,24
STA-PT03055,2020-02-08,industrial,urban,15.262500000000001,24
STA-PT03055,2020-02-09,industrial,urban,20.141666666666666,24
STA-PT03055,2020-02-10,industrial,urban,34.35,24
STA-PT03055,2020-02-11,industrial,urban,21.883333333333333,24
STA-PT03055,2020-02-12,industrial,urban,31.15,24
STA-PT03055,2020-02-13,industrial,urban,36,24
STA-PT03055,2020-02-14,industrial,urban,29.441666666666666,24
STA-PT03055,2020-02-15,industrial,urban,26.929166666666667,24
STA-PT03055,2020-02-16,industrial,urban,15.525,24
STA-PT03055,2020-02-17,industrial,urban,10.004166666666666,24
STA-PT03055,2020-02-18,industrial,urban,7.983333333333333,24
STA-PT03055,2020-02-19,industrial,urban,16.633333333333333,24
STA-PT03055,2020-02-20,industrial,urban,14.254166666666666,24
STA-PT03055,2020-02-21,industrial,urban,14.658333333333333,24
STA-PT03055,2020-02-22,industrial,urban,16.59583333333333,24
STA-PT03055,2020-02-23,industrial,urban,17.225,24
STA-PT03055,2020-02-24,industrial,urban,21.833333333333332,24
STA-PT03055,2020-02-25,industrial,urban,9.5125,24
STA-PT03055,2020-02-26,industrial,urban,10.695833333333333,24
STA-PT03055,2020-02-27,industrial,urban,21.816666666666666,24
STA-PT03055,2020-02-28,industrial,urban,13.783333333333333,24
STA-PT03055,2020-02-29,industrial,urban,8.895833333333334,24
STA-PT03055,2020-03-01,industrial,urban,5.508333333333334,24
STA-PT03055,2020-03-02,industrial,urban,7.783333333333333,24
STA-PT03055,2020-03-03,industrial,urban,13.945833333333333,24
STA-PT03055,2020-03-04,industrial,urban,12.604166666666666,24
STA-PT03055,2020-03-05,industrial,urban,6.708333333333333,24
STA-PT03055,2020-03-06,industrial,urban,8.729166666666666,24
STA-PT03055,2020-03-07,industrial,urban,7.166666666666667,24
STA-PT03055,2020-03-08,industrial,urban,12.1,24
STA-PT03055,2020-03-09,industrial,urban,10.895833333333334,24
STA-PT03055,2020-03-10,industrial,urban,19.725,24
STA-PT03055,2020-03-11,industrial,urban,16.579166666666666,24
STA-PT03055,2020-03-12,industrial,urban,12.704166666666666,24
STA-PT03055,2020-03-13,industrial,urban,8.275,24
STA-PT03055,2020-03-14,industrial,urban,11.695833333333333,24
STA-PT03055,2020-03-15,industrial,urban,6.925,24
STA-PT03055,2020-03-16,industrial,urban,9.079166666666667,24
STA-PT03055,2020-03-17,industrial,urban,7.229166666666667,24
STA-PT03055,2020-03-18,industrial,urban,6.433333333333334,24
STA-PT03055,2020-03-19,industrial,urban,9.5875,24
STA-PT03055,2020-03-20,industrial,urban,12.266666666666667,24
